tipo;categoria;mes;dia_semana;hora;pautado;alcance;impresiones;usuarios;clicks;interacciones
Foto;Producto;7;7;11;Si;2602;4349;444;588;68
Foto;Accion;7;7;6;Si;5848;9068;570;795;85
Foto;Accion;7;6;11;No;26944;43464;740;1097;234
Foto;Inspiracion;7;6;5;No;5292;9321;646;1033;274
Estado;Producto;7;5;12;Si;15576;27513;2327;3098;300
Foto;Inspiracion;7;5;3;No;54256;82011;963;1419;823
Foto;Producto;7;4;12;Si;3726;6372;574;785;85
Foto;Accion;7;4;6;Si;31904;50539;770;1106;160
Foto;Accion;7;3;13;Si;40336;65309;1330;2251;118
Foto;Producto;7;3;1;No;4220;7774;597;838;203
Foto;Inspiracion;7;2;13;No;4666;8360;648;1014;202
Foto;Producto;7;2;7;Si;4274;7948;638;1020;143
Foto;Accion;7;1;13;No;28208;41650;827;1237;290
Foto;Producto;7;1;3;No;3330;5461;478;652;79
Foto;Producto;7;7;11;Si;3528;5918;513;787;75
Foto;Inspiracion;7;7;3;No;38576;55398;890;1328;596
Foto;Inspiracion;7;6;13;Si;2628;4264;503;652;55
Foto;Accion;7;6;3;No;7232;12735;700;1236;101
Estado;Producto;7;5;10;No;10188;16978;1441;2136;87
Foto;Accion;7;5;3;No;6408;11881;861;14974;195
Foto;Accion;7;4;9;Si;3414;6050;493;710;53
Foto;Producto;7;4;5;Si;53056;65260;1412;2089;730
Foto;Accion;7;3;10;Si;66976;111502;1054;1641;269
Foto;Accion;7;3;3;Si;76096;94644;2495;4596;587
Foto;Inspiracion;7;4;12;No;5458;9098;933;1181;171
Foto;Producto;7;4;3;No;3706;6194;884;1173;71
Estado;Producto;7;3;13;No;18320;31448;3682;7854;148
Foto;Inspiracion;7;3;4;Si;2316;3611;716;862;30
Video;Accion;6;2;13;No;139008;277100;1643;2356;271
Foto;Accion;6;2;9;Si;5854;11854;947;19779;218
Foto;Accion;6;2;3;No;109056;191324;2457;4906;194
Foto;Producto;6;1;12;No;3212;4908;720;897;49
Foto;Producto;6;1;4;No;3046;4909;872;1147;89
Estado;Producto;6;7;11;No;12044;20327;2193;3599;117
Foto;Accion;6;7;4;Si;9652;16968;1381;2801;39
Foto;Accion;6;6;12;No;28112;47721;1537;2438;152
Estado;Producto;6;6;4;No;8628;14847;843;1692;94
Foto;Accion;6;5;11;Si;2431;4180;383;7980;18
Foto;Accion;6;4;22;Si;20560;24112;860;1126;125
Foto;Accion;6;4;12;No;20896;29062;1038;2048;605
Foto;Accion;6;4;11;No;2402;4072;145;286;67
Foto;Accion;6;4;7;No;1729;3289;591;735;25
Foto;Producto;6;4;3;No;4320;7127;681;1021;172
Foto;Accion;6;3;11;No;2585;4410;560;781;24
Foto;Producto;6;3;3;No;3322;5969;569;852;95
Foto;Accion;6;2;13;No;3600;5807;656;913;93
Foto;Accion;6;2;2;No;11620;21564;1138;2042;66
Foto;Inspiracion;6;1;14;No;4248;7004;671;920;117
Foto;Inspiracion;6;1;3;No;2763;4388;523;650;72
Foto;Producto;6;7;11;No;3558;5396;568;775;94
Foto;Accion;6;7;4;No;8324;14480;834;1388;15
Foto;Producto;6;6;9;No;6952;11469;779;1229;285
Foto;Inspiracion;6;6;2;Si;2823;4955;503;622;89
Foto;Accion;6;5;13;Si;63840;102620;1229;1871;234
Foto;Inspiracion;6;5;3;Si;11608;15323;705;940;363
Foto;Accion;6;4;12;No;58304;80871;715;1034;155
Foto;Inspiracion;6;4;2;No;4762;8303;725;1014;238
Foto;Producto;6;3;13;No;6150;10217;676;969;188
Foto;Inspiracion;6;3;3;Si;4644;8178;683;1000;184
Foto;Inspiracion;6;2;13;No;22464;29650;934;1408;163
Foto;Inspiracion;6;2;3;No;3754;6295;730;1072;135
Foto;Accion;6;1;13;No;4452;7998;658;948;25
Foto;Inspiracion;6;1;3;No;3576;5525;618;870;99
Foto;Inspiracion;6;7;10;No;3028;4794;548;740;73
Foto;Inspiracion;6;7;3;Si;4022;6503;616;995;82
Foto;Accion;6;6;12;Si;52736;73584;1622;2824;28
Foto;Inspiracion;6;6;4;No;47376;70212;1426;2051;218
Foto;Inspiracion;6;5;12;No;3234;5113;724;937;75
Foto;Producto;6;5;3;No;3322;5553;656;863;90
Foto;Inspiracion;6;4;13;No;6768;11525;672;930;226
Foto;Producto;6;4;5;Si;11304;20647;1065;1874;235
Foto;Accion;6;3;11;No;13544;18474;733;1082;41
Foto;Inspiracion;6;2;13;No;3418;5659;546;770;59
Foto;Inspiracion;6;2;5;Si;3662;6476;522;677;83
Foto;Inspiracion;6;1;10;No;56672;104966;1334;1850;1439
Foto;Inspiracion;6;1;3;Si;3294;5499;488;599;65
Foto;Inspiracion;6;1;3;No;3110;5405;712;892;45
Foto;Producto;5;7;14;No;3806;6486;658;880;97
Foto;Inspiracion;5;5;9;Si;3776;6736;529;719;122
Foto;Inspiracion;5;4;12;No;39040;55633;1183;2123;691
Foto;Inspiracion;5;4;4;Si;4032;7278;607;848;180
Foto;Inspiracion;5;3;12;No;21248;34095;918;1438;251
Foto;Inspiracion;5;3;5;No;4344;8025;626;872;134
Foto;Inspiracion;5;2;12;No;2718;4698;528;663;60
Foto;Inspiracion;5;2;1;No;3024;5630;560;721;84
Estado;Producto;5;1;2;No;10152;17099;1599;2755;67
Foto;Producto;5;7;2;No;4708;8090;594;889;180
Foto;Inspiracion;5;6;14;No;2772;4642;479;604;83
Foto;Inspiracion;5;6;6;No;2812;4954;485;672;99
Foto;Inspiracion;5;5;10;Si;6460;11373;706;1197;313
Foto;Accion;5;4;10;No;18056;32576;875;1389;390
Foto;Inspiracion;5;4;4;No;5016;8745;569;966;254
Foto;Inspiracion;5;3;11;No;3528;6181;415;583;114
Foto;Producto;5;2;11;No;6444;11509;625;1157;232
Foto;Inspiracion;5;1;13;Si;4458;7753;432;676;136
Link;Accion;5;1;2;No;12540;19301;322;396;63
Foto;Inspiracion;5;7;13;Si;4362;7378;509;767;179
Foto;Inspiracion;5;7;2;No;38960;65149;1702;3000;948
Foto;Inspiracion;5;6;13;No;3144;5067;356;507;72
Foto;Inspiracion;5;6;8;Si;4336;7705;484;847;190
Foto;Inspiracion;5;5;13;No;81856;124753;1637;2718;1806
Foto;Producto;5;5;9;No;5728;10164;587;1049;190
Foto;Inspiracion;5;4;13;Si;5490;9518;555;847;203
Estado;Accion;5;4;3;Si;23832;42313;1570;2838;255
Foto;Inspiracion;5;3;7;No;18552;25542;676;1021;429
Foto;Producto;5;2;14;No;4132;7165;495;713;118
Foto;Accion;5;2;8;No;4910;9209;561;869;188
Foto;Inspiracion;5;1;13;No;4202;7633;481;730;167
Foto;Producto;5;1;3;No;5976;10441;544;833;309
Foto;Producto;5;7;14;No;5206;8962;492;878;174
Foto;Inspiracion;5;7;2;No;6984;12066;631;1116;335
Foto;Accion;5;6;9;No;6000;10300;539;886;99
Foto;Inspiracion;5;6;3;No;3332;5797;406;552;105
Estado;Producto;5;5;7;No;9232;16811;861;1967;166
Foto;Inspiracion;4;4;15;Si;5212;9035;642;1005;210
Foto;Accion;4;3;13;No;24264;51899;1485;3153;236
Foto;Inspiracion;4;3;8;No;4280;7594;555;771;157
Foto;Inspiracion;4;2;13;No;6692;11859;742;1165;355
Foto;Inspiracion;4;2;2;Si;5594;9586;670;1048;189
Foto;Accion;4;1;2;No;11336;15350;547;724;54
Foto;Producto;4;7;3;Si;5582;9903;620;923;200
Foto;Accion;4;6;14;No;28352;55202;1242;1990;528
Estado;Producto;4;6;3;Si;17912;34774;2567;6591;587
Link;Accion;4;5;7;Si;35360;45260;325;477;56
Foto;Accion;4;5;5;No;9084;15194;916;1897;121
Foto;Accion;4;4;12;Si;6880;11736;639;889;75
Foto;Inspiracion;4;4;7;Si;12824;18929;623;864;316
Foto;Inspiracion;4;3;7;No;6596;9835;526;678;79
Foto;Inspiracion;4;2;13;Si;7492;12414;713;1274;295
Foto;Accion;4;2;6;Si;44288;60918;1105;1746;165
Foto;Inspiracion;4;1;14;Si;105632;147918;2254;3391;2177
Foto;Accion;4;7;14;No;128064;251269;1408;2506;212
Foto;Inspiracion;4;6;20;No;5994;9970;838;1254;280
Foto;Accion;4;6;13;No;6172;10417;684;906;87
Foto;Inspiracion;4;6;3;No;4986;8198;614;788;122
Foto;Accion;4;5;13;No;6668;10701;642;943;69
Foto;Inspiracion;4;5;7;Si;5298;8875;575;874;183
Foto;Accion;4;4;3;No;35008;45508;597;768;56
Foto;Accion;4;3;13;Si;5402;8891;633;1078;126
Foto;Accion;4;3;8;No;9880;12695;497;658;40
Foto;Accion;4;2;13;No;3334;5953;565;842;44
Foto;Inspiracion;4;2;2;Si;3130;5313;495;616;62
Foto;Producto;4;1;13;Si;32208;55696;1367;2123;881
Foto;Accion;4;1;2;No;20920;26026;642;913;115
Foto;Inspiracion;4;7;14;No;3884;6406;483;597;71
Foto;Inspiracion;4;7;13;No;4240;7057;542;730;138
Foto;Accion;4;6;9;No;3544;6156;482;701;58
Foto;Inspiracion;4;6;3;Si;3286;6276;458;633;115
Foto;Accion;4;5;9;No;71360;110172;1732;3383;97
Foto;Inspiracion;4;5;3;No;3824;6333;627;822;90
Foto;Inspiracion;4;4;13;No;6360;11079;631;1028;225
Foto;Inspiracion;4;4;5;Si;3714;6385;481;645;122
Foto;Accion;4;3;13;Si;46192;80227;1096;1697;376
Foto;Accion;4;3;4;Si;39568;47128;652;957;149
Link;Accion;4;2;6;No;70912;94172;1106;1267;420
Foto;Inspiracion;4;1;3;No;4552;7253;444;569;77
Foto;Inspiracion;4;7;10;No;4390;7004;453;602;90
Foto;Inspiracion;4;7;3;No;4770;7716;455;632;124
Foto;Inspiracion;4;6;9;Si;2970;4649;390;544;67
Link;Accion;4;6;4;No;34192;42092;322;389;44
Foto;Producto;4;5;13;No;5302;8769;566;979;168
Foto;Producto;4;5;3;No;5560;9301;586;984;173
Foto;Inspiracion;4;4;13;No;4406;6769;433;571;91
Foto;Accion;4;4;3;Si;5290;8132;570;857;104
Foto;Accion;3;5;14;Si;3696;5824;474;742;81
Foto;Accion;3;4;14;Si;6030;9579;659;1448;208
Foto;Accion;3;4;7;No;49632;1110282;1480;2567;249
Estado;Accion;3;3;15;No;9120;14759;937;1290;34
Foto;Accion;3;3;10;No;1874;2474;25;31;0
Foto;Accion;3;3;10;No;4122;7073;455;609;39
Foto;Accion;3;3;4;No;5080;8238;505;727;53
Foto;Accion;3;2;12;No;4068;7333;513;934;74
Foto;Accion;3;2;3;No;3272;6079;446;653;39
Foto;Accion;3;1;19;No;238;570;142;834;2
Foto;Accion;3;1;18;No;3358;5900;507;4550;120
Foto;Accion;3;1;18;No;6400;11941;726;8415;38
Link;Inspiracion;3;1;3;No;6876;10885;245;337;85
Foto;Accion;3;7;18;No;391;746;130;766;7
Foto;Accion;3;7;17;No;10844;22468;1339;11064;230
Foto;Accion;3;7;15;No;5132;9067;398;1690;2
Foto;Accion;3;7;15;No;3772;6971;144;1033;3
Link;Accion;3;7;14;No;2933;5144;23;26;6
Foto;Accion;3;7;12;No;4094;7469;203;1420;4
Foto;Accion;3;6;17;No;452;726;184;889;5
Foto;Accion;3;6;17;No;11420;23855;1342;8049;237
Foto;Accion;3;6;15;No;5704;10510;450;2895;17
Foto;Accion;3;6;15;No;7192;12811;554;3941;110
Foto;Accion;3;6;13;Si;9604;16557;1037;9614;143
Foto;Accion;3;6;10;No;122944;457509;1268;2106;149
Link;Producto;3;6;6;No;5730;10083;71;97;49
Foto;Accion;3;6;3;No;4898;7960;528;719;86
Foto;Accion;3;5;10;No;4118;7355;526;675;36
Foto;Accion;3;5;4;Si;1845;2670;9;9;0
Foto;Inspiracion;3;4;13;No;34480;191207;1156;1926;771
Foto;Inspiracion;3;2;9;No;5338;9940;556;715;73
Foto;Producto;3;2;5;No;5312;9411;582;795;68
Foto;Accion;3;1;13;Si;4412;8070;678;926;63
Foto;Accion;3;1;2;Si;98816;125026;11328;18115;228
Foto;Accion;3;7;10;Si;7220;12735;2300;3311;118
Foto;Accion;3;7;5;Si;14320;21958;1819;2170;67
Foto;Accion;2;6;13;Si;27056;162816;2127;2737;266
Foto;Accion;2;6;6;No;20528;33000;1800;2654;172
Foto;Accion;2;5;12;No;6416;11459;1313;1652;125
Foto;Accion;2;5;6;No;5786;10634;1218;1526;68
Foto;Inspiracion;2;4;12;No;5878;10508;1087;1380;128
Foto;Inspiracion;2;4;3;No;9528;16535;1288;1834;282
Foto;Inspiracion;2;3;13;No;8500;14157;1029;1422;217
Foto;Accion;2;3;9;Si;3796;6737;940;1192;29
Foto;Accion;2;3;6;No;28128;42940;2190;3400;178
Foto;Inspiracion;2;2;13;No;7228;12627;1189;1612;165
Foto;Producto;2;2;3;Si;5290;9100;994;1326;163
Foto;Inspiracion;2;1;13;No;55520;665792;3586;6624;1873
Foto;Accion;2;1;4;No;5880;10115;1264;1878;95
Foto;Inspiracion;2;7;13;Si;10040;17029;1346;2022;311
Foto;Inspiracion;2;7;2;Si;153536;497910;1633;2493;176
Foto;Accion;2;6;13;No;158208;453213;2319;3412;313
Foto;Inspiracion;2;6;3;No;6484;10832;1115;1441;170
Foto;Producto;2;5;13;Si;4840;7466;923;1116;71
Foto;Producto;2;5;3;Si;15880;51571;1071;1410;238
Foto;Accion;2;4;12;No;15288;31467;1401;2110;305
Foto;Inspiracion;2;4;3;No;9528;16779;1175;1725;264
Link;Accion;2;3;13;No;9356;14986;381;505;131
Foto;Inspiracion;2;3;3;No;7732;13264;1002;1336;224
Foto;Accion;2;2;13;No;5240;8893;837;1020;61
Foto;Inspiracion;2;2;4;Si;7132;12060;944;1226;182
Foto;Accion;2;1;12;No;21928;39641;1479;1837;86
Foto;Inspiracion;1;6;16;Si;5754;9238;1143;1452;84
Foto;Accion;1;6;10;Si;37088;10966;2288;3183;633
Link;Accion;1;6;4;No;39600;7927;496;581;107
Foto;Inspiracion;1;5;13;No;5536;8745;1099;1461;106
Foto;Inspiracion;1;5;4;No;6056;10325;1078;1427;127
Foto;Producto;1;4;11;No;11484;20696;1635;2741;515
Link;Accion;1;4;4;Si;4938;7910;63;70;7
Foto;Inspiracion;1;3;10;No;66784;9456;2833;3645;226
Foto;Producto;1;3;3;No;5526;8779;1058;1399;97
Foto;Inspiracion;1;2;7;No;5040;8367;1023;1348;108
Link;Accion;1;2;2;No;5168;8371;59;71;14
Foto;Inspiracion;1;1;12;No;5034;8030;993;1243;83
Foto;Inspiracion;1;1;2;No;4908;7491;937;1153;66
Foto;Inspiracion;1;7;10;No;9700;17442;1271;2007;378
Foto;Inspiracion;1;7;2;No;4800;7754;938;1278;103
Foto;Inspiracion;1;6;11;No;5280;8703;911;1237;110
Foto;Inspiracion;1;6;3;Si;6184;10228;901;1140;152
Link;Accion;1;5;11;No;45920;5808;655;763;137
Foto;Inspiracion;1;1;2;No;8412;13960;1111;1632;257
Foto;Inspiracion;1;7;10;No;5400;9218;756;1003;176
Foto;Inspiracion;1;7;2;No;4684;7536;708;985;84
Foto;Producto;1;5;8;No;3480;6229;508;687;75
Foto;Accion;1;5;2;No;3778;7216;572;795;115
Foto;Inspiracion;1;4;11;No;4156;7564;574;832;136
Foto;Producto;1;4;4;No;4188;7292;524;743;119